ANO_APLICACAO;CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO;TP_VERSAO_DIGITAL;TP_APLICACAO;REF_ARQUIVO_PDF;DESC_ENUNCIADO;DESC_ALTER_A;DESC_ALTER_B;DESC_ALTER_C;DESC_ALTER_D;DESC_ALTER_E;IN_ITEM_IMAGEM
2010;154;MT;70008;C;4;0;;1.57654;1.55529;0.22463;Azul;99;;;;REGULAR;ENEM_2010_PROVA_GAB_DIA_2_AZUL_7.pdf;"Uma empresa possui um sistema de controle de qualidade que classifica o seu desempenho financeiro anual, tendo como base o do ano anterior. Os conceitos são: insuficiente, quando o crescimento é menor que 1%; regular, quando o crescimento é maior ou igual a 1% e menor que 5%; bom, quando o crescimento é maior ou igual a 5% e menor que 10%; ótimo, quando é maior ou igual a 10% e menor que 20%; e excelente, quando é maior ou igual a 20%. Essa empresa apresentou lucro de R$ 132 000,00 em 2008 e de R$ 145 000,00 em 2009. De acordo com esse sistema de controle de qualidade, o desempenho financeiro dessa empresa no ano de 2009 deve ser considerado";insuficiente.;regular.;bom.;ótimo.;excelente.;0
2010;175;MT;58699;E;27;0;;1.66283;2.97375;0.12156;Azul;99;;;;REGULAR;ENEM_2010_PROVA_GAB_DIA_2_AZUL_7.pdf;O quadro seguinte mostra o desempenho de um time de futebol no último campeonato. A coluna da esquerda mostra o número de gols marcados e a coluna da direita informa em quantos jogos o time marcou aquele número de gols. Gols marcados Quantidade de partidas 0 5 1 3 2 4 3 3 4 2 5 2 7 1 Se X, Y e Z são, respectivamente, a média, a mediana e a moda desta distribuição, então;X = Y < Z.;Z < X = Y.;Y < Z < X.;Z < X < Y.;Z < Y < X.;0
2011;136;MT;70183;A;1;0;;2.11832;0.73515;0.18808;Cinza;130;;;;REGULAR;ENEM_2011_P1_CAD_06_DIA_2_CINZA_LEDOR.pdf;"O medidor de energia elétrica das residências, conhecido por “relógio de luz”, é constituído de quatro pequenos relógios, dispostos lado a lado, correspondentes, respectivamente, às posições MILHAR, CENTENA, DEZENA e UNIDADE. Em cada um desses relógios, há um único ponteiro, que gira no sentido crescente da numeração. A medida é expressa em kWh. O número obtido na leitura é composto por quatro algarismos, sendo cada posição desse número formada pelo último algarismo ultrapassado pelo ponteiro do relógio correspondente àquela posição. Em determinado momento, o relógio de luz de uma residência apresentava a seguinte sequência: \bullet relógio correspondente à posição MILHAR: ponteiro entre os algarismos 2 e 3; \bullet relógio correspondente à posição CENTENA: ponteiro entre os algarismos 6 e 7; \bullet relógio correspondente à posição DEZENA: ponteiro entre os algarismos 1 e 2; \bullet relógio correspondente à posição UNIDADE: ponteiro entre os algarismos 4 e 5. De acordo com essa descrição, o número obtido, em kWh, pela leitura do relógio de luz dessa residência é";2 614.;3 624.;2 715.;3 725.;4 162.;0
2011;137;MT;72052;B;10;0;;2.23008;0.55451;0.27798;Cinza;130;;;;REGULAR;ENEM_2011_P1_CAD_06_DIA_2_CINZA_LEDOR.pdf;"Um mecânico de uma equipe de corrida necessita que as seguintes medidas realizadas em um carro sejam obtidas em metros: a) distância a entre os eixos dianteiro e traseiro: 2 300 mm; b) altura b entre o solo e o encosto do piloto: 160 cm. Ao optar pelas medidas a e b em metros, obtêm-se, respectivamente,";0,23 e 0,16.;2,3 e 1,6.;23 e 16.;230 e 160.;2 300 e 1 600.;0
2011;138;MT;72676;E;21;0;;2.96492;2.02812;0.0738;Cinza;130;;;;REGULAR;ENEM_2011_P1_CAD_06_DIA_2_CINZA_LEDOR.pdf;A Escala de Magnitude de Momento (abreviada como MMS e denotada como M ), introduzida em 1979 w por Thomas Haks e Hiroo Kanamori, substituiu a Escala de Richter para medir a magnitude dos terremotos em termos de energia liberada. Menos conhecida pelo público, a MMS é, no entanto, a escala usada para estimar as magnitudes de todos os grandes terremotos da atualidade. Assim como a escala Richter, a MMS é uma escala logarítmica. M e M se relacionam pela W 0 fórmula: −^{2 3 \log ( M )} W 10 0 Onde M é o momento sísmico (usualmente estimado a partir dos registros de movimento da superfície, através dos sismogramas), cuja unidade é o dina∙cm. O terremoto de Kobe, acontecido no dia 17 de janeiro de 1995, foi um dos terremotos que causaram maior impacto no Japão e na comunidade científica internacional. Teve magnitude M = 7,3. W Mostrando que é possível determinar a medida por meio de conhecimentos matemáticos, qual foi o momento sísmico M do terremoto de Kobe (em dina∙cm)?;$10^{-5,10}$;$10^{-0,73}$;$10^{12,00}$;$10^{21,65}$;$10^{27,00}$;0
2011;139;MT;71649;E;5;0;;2.41492;0.28863;0.31102;Cinza;130;;;;REGULAR;ENEM_2011_P1_CAD_06_DIA_2_CINZA_LEDOR.pdf;"O dono de uma oficina mecânica precisa de um pistão das partes de um motor, de 68 mm de diâmetro, para o conserto de um carro. Para conseguir um, esse dono vai até um ferro velho e lá encontra pistões com diâmetros iguais a 68,21 mm; 68,102 mm; 68,001 mm; 68,02 mm e 68,012 mm. Para colocar o pistão no motor que está sendo consertado, o dono da oficina terá de adquirir aquele que tenha o diâmetro mais próximo do que precisa. Nessa condição, o dono da oficina deverá comprar o pistão de diâmetro";68,21 mm.;68,102 mm.;68,02 mm.;68,012 mm.;68,001 mm.;0
2011;140;MT;72045;E;17;0;;2.69266;1.52176;0.11563;Cinza;130;;;;REGULAR;ENEM_2011_P1_CAD_06_DIA_2_CINZA_LEDOR.pdf;Café no Brasil O consumo de café atingiu o maior nível da história no ano de 2009: os brasileiros beberam o equivalente a 331 bilhões de xícaras. Considere que a xícara citada na notícia seja equivalente a, aproximadamente, 120 mL de café. Suponha que em 2010 os brasileiros tenham bebido ainda mais café, aumentando o consumo em $\frac{1}{5}$ do que foi consumido no ano anterior. De acordo com essas informações, o consumo aproximado de café em 2010 foi de;8 bilhões de litros.;16 bilhões de litros.;32 bilhões de litros.;40 bilhões de litros.;48 bilhões de litros.;0
2011;141;MT;70407;B;12;0;;1.78608;0.80144;0.18101;Cinza;130;;;;REGULAR;ENEM_2011_P1_CAD_06_DIA_2_CINZA_LEDOR.pdf;Você pode adaptar as atividades do seu dia a dia de uma forma que possa queimar mais calorias do que as gastas normalmente, conforme a relação seguinte: - Enquanto você fala ao telefone, faça agachamentos: 100 calorias gastas em 20 minutos. - Meia hora de supermercado: 100 calorias. - Cuidar do jardim por 30 minutos: 200 calorias. - Passear com o cachorro: 200 calorias em 30 minutos. - Tirar o pó dos móveis: 150 calorias em 30 minutos. - Lavar roupas por 30 minutos: 200 calorias. Uma pessoa deseja executar essas atividades, porém, ajustando o tempo para que, em cada uma, gaste igualmente 200 calorias. A partir dos ajustes, quanto tempo a mais será necessário para realizar todas as atividades?;50 minutos.;60 minutos.;80 minutos.;120 minutos.;170 minutos.;0
2011;142;MT;71642;C;13;0;;1.80059;1.4011;0.1643;Cinza;130;;;;REGULAR;ENEM_2011_P1_CAD_06_DIA_2_CINZA_LEDOR.pdf;Em uma certa cidade, os moradores de um bairro carente de espaços de lazer reivindicam à prefeitura municipal a construção de uma praça. A prefeitura concorda com a solicitação e afirma que irá construí-la em formato retangular devido às características técnicas do terreno. Restrições de natureza orçamentária impõem que sejam gastos, no máximo, 180 m de tela para cercar a praça. A prefeitura apresenta aos moradores desse bairro as medidas dos terrenos disponíveis para a construção da praça: Terreno 1: 55 m por 45 m Terreno 2: 55 m por 55 m Terreno 3: 60 m por 30 m Terreno 4: 70 m por 20 m Terreno 5: 95 m por 85 m Para optar pelo terreno de maior área, que atenda às restrições impostas pela prefeitura, os moradores deverão escolher o terreno;1.;2.;3.;4.;5.;0
2011;143;MT;70501;E;11;0;;2.68015;2.08631;0.07696;Cinza;130;;;;REGULAR;ENEM_2011_P1_CAD_06_DIA_2_CINZA_LEDOR.pdf;Sabe-se que a distância real, em linha reta, de uma cidade A, localizada no estado de São Paulo, a uma cidade B, localizada no estado de Alagoas, é igual a 2 000 km. Um estudante, ao analisar um mapa, verificou com sua régua que a distância entre essas duas cidades, A e B, era 8 cm. Os dados nos indicam que o mapa observado pelo estudante está na escala de;1 : 250.;1 : 2 500.;1 : 25 000.;1 : 250 000.;1 : 25 000 000.;0
2011;144;MT;70698;E;7;0;;1.40069;2.32577;0.10823;Cinza;130;;;;REGULAR;ENEM_2011_P1_CAD_06_DIA_2_CINZA_LEDOR.pdf;"Uma indústria fabrica brindes promocionais em forma de pirâmide, que é obtida a partir de quatro cortes feitos em um sólido que tem a forma de um cubo, cujos vértices da face inferior são indicados pelas letras A, B, C e D e o ponto central da face superior é indicado pela letra O. A cada corte, é descartada a parte que não comporá a pirâmide. Os cortes são feitos da seguinte maneira: \bullet o primeiro corte é feito pelo plano que passa pelo ponto O e pela aresta AD ; \bullet o segundo corte é feito pelo plano que passa pelo ponto O e pela aresta BC , paralela à aresta AD ; \bullet o terceiro corte é feito pelo plano que passa pelo ponto O e pela aresta AB ; \bullet o quarto corte é feito pelo plano que passa pelo ponto O e pela aresta CD, paralela à aresta AB . Os formatos dos sólidos descartados são";todos iguais.;todos diferentes.;três iguais e um diferente.;apenas dois iguais.;iguais dois a dois.;0
2011;145;MT;71238;B;27;0;;1.62432;1.82815;0.21852;Cinza;130;;;;REGULAR;ENEM_2011_P1_CAD_06_DIA_2_CINZA_LEDOR.pdf;"Uma equipe de especialistas do centro meteorológico de uma cidade mediu a temperatura do ambiente, sempre no mesmo horário, durante 15 dias intercalados, a partir do primeiro dia de um mês. Esse tipo de procedimento é frequente, uma vez que os dados coletados servem de referência para estudos e verificação de tendências climáticas ao longo dos meses e anos. As medições ocorridas nesse período foram as seguintes: \bullet dia primeiro: 15,5 ºC; \bullet dia 3: 14 ºC; \bullet dia 5: 13,5 ºC; \bullet dia 7: 18 ºC; \bullet dia 9: 19,5 ºC; \bullet dia 11: 20 ºC; \bullet dia 13: 13,5 ºC; \bullet dia 15: 13,5 ºC; \bullet dia 17: 18 ºC; \bullet dia 19: 20 ºC; \bullet dia 21: 18,5 ºC; \bullet dia 23: 13,5 ºC; \bullet dia 25: 21,5 ºC; \bullet dia 27: 20 ºC; \bullet dia 29: 16 ºC. Em relação à temperatura, os valores da média, mediana e moda são, respectivamente, iguais a";$17 ^\circC, 17 ^\circC e 13,5 ^\circC$;$17 ^\circC, 18 ^\circC e 13,5 ^\circC$;$17 ^\circC, 13,5 ^\circC e 18 ^\circC$;$17 ^\circC, 18 ^\circC e 21,5 ^\circC$;$17 ^\circC, 13,5 ^\circC e 21,5 ^\circC$;0
2011;146;MT;72783;C;11;0;;1.99058;1.58634;0.17168;Cinza;130;;;;REGULAR;ENEM_2011_P1_CAD_06_DIA_2_CINZA_LEDOR.pdf;Para uma atividade realizada no laboratório de Matemática, um aluno precisa construir uma maquete de uma quadra de esportes que tem 28 m de comprimento por 12 m de largura. A maquete deverá ser construída na escala de 1 : 250. Que medidas de comprimento e largura, em cm, o aluno utilizará na construção da maquete?;4,8 e 11,2;7,0 e 3,0;11,2 e 4,8;28,0 e 12,0;30,0 e 70,0;0
2011;147;MT;73124;E;7;0;;1.2623;0.61947;0.13382;Cinza;130;;;;REGULAR;ENEM_2011_P1_CAD_06_DIA_2_CINZA_LEDOR.pdf;Um treinador de um time de basquete utilizou um plano cartesiano, cuja origem coincide com o centro da quadra de basquete e as cestas estão dispostas no eixo x, para montar um esquema estratégico para orientar suas jogadoras. Nesse esquema, as distâncias nos eixos x e y são dadas em metros e o time ataca no sentido positivo do eixo x. De acordo com essa estratégia, uma jogadora posicionada na quadra no local correspondente ao ponto R = (2, –2), de frente para o ataque, recebeu a orientação para se deslocar 2 metros para a sua esquerda, e, em seguida, 3 metros em direção ao ataque. Nessa situação, a nova posição dessa jogadora corresponderá, no plano cartesiano, ao ponto;(2, –4).;(4, –5).;(4, 1).;(–1, 0).;(5, 0).;0
2011;148;MT;72124;C;10;0;;2.21598;1.31369;0.1587;Cinza;130;;;;REGULAR;ENEM_2011_P1_CAD_06_DIA_2_CINZA_LEDOR.pdf;Em 2010, um caos aéreo afetou o continente europeu, devido à quantidade de fumaça expelida por um vulcão na Islândia, o que levou ao cancelamento de inúmeros voos. Cinco dias após o início desse caos, todo o espaço aéreo europeu acima de 6 000 metros estava liberado, com exceção do espaço aéreo da Finlândia. Lá, apenas voos internacionais acima de 31 mil pés estavam liberados. Considere que 1 metro equivale a aproximadamente 3,3 pés. Qual a diferença, em pés, entre as altitudes liberadas na Finlândia e no restante do continente europeu cinco dias após o início do caos?;3 390 pés.;9 390 pés.;11 200 pés.;19 800 pés.;50 800 pés.;0
2011;149;MT;72786;B;22;0;;1.55058;2.08849;0.12411;Cinza;130;;;;REGULAR;ENEM_2011_P1_CAD_06_DIA_2_CINZA_LEDOR.pdf;Um bairro de uma cidade foi planejado em uma região plana. Em um plano de coordenadas cartesianas, cujas distâncias nos eixos x e y são dadas em quilômetros, esse bairro está representado no segundo quadrante. Nesse plano cartesiano, a reta de equação y = x + 4 representa o planejamento da linha do metrô subterrâneo que atravessará o bairro e outras regiões da cidade. Nessa representação, o ponto P = (–5, 5) corresponde ao hospital público do bairro. A comunidade solicitou ao comitê de planejamento que fosse prevista uma estação do metrô cuja distância ao hospital, medida em linha reta, não fosse maior que 5 km. Atendendo ao pedido da comunidade, o comitê argumentou corretamente que isso seria automaticamente satisfeito, pois já estava prevista a construção de uma estação no ponto;(–5, 0).;(–3, 1).;(–2, 1).;(0, 4).;(2, 6).;0
2011;150;MT;75795;A;23;0;;1.91763;2.20242;0.17835;Cinza;130;;;;REGULAR;ENEM_2011_P1_CAD_06_DIA_2_CINZA_LEDOR.pdf;O Índice de Massa Corporal (IMC) é largamente utilizado há cerca de 200 anos, mas esse cálculo representa muito mais a corpulência que a adiposidade, uma vez que indivíduos musculosos e obesos podem apresentar o mesmo IMC. Uma nova pesquisa aponta o Índice de Adiposidade Corporal (IAC) como uma alternativa mais fidedigna para quantificar a gordura corporal, utilizando a medida do quadril e a altura. A descrição abaixo mostra como calcular essas medidas, sabendo-se que, em mulheres, a adiposidade normal está entre 19% e 26%. O velho IMC Índice de Massa Corporal (IMC) IMC = massa (kg) / [altura \times altura (m)] O novo IAC Índice de Adiposidade Corporal (IAC) % de Gordura Corporal = circunferência do quadril (cm) / [altura (m) \times raiz quadrada da altura (m)] - 18 Uma jovem com IMC = 20 kg/m^2, 100 cm de circunferência dos quadris e 60 kg de massa corpórea resolveu averiguar seu IAC. Para se enquadrar aos níveis de normalidade de gordura corporal, a atitude adequada que essa jovem deve ter diante da nova medida é (Use );reduzir seu excesso de gordura em cerca de 1%.;reduzir seu excesso de gordura em cerca de 27%.;manter seus níveis atuais de gordura.;aumentar seu nível de gordura em cerca de 1%.;aumentar seu nível de gordura em cerca de 27%.;0
2011;151;MT;72821;D;8;0;;1.56479;1.83743;0.12533;Cinza;130;;;;REGULAR;ENEM_2011_P1_CAD_06_DIA_2_CINZA_LEDOR.pdf;Um hexágono regular é invariante por rotações, em torno de seu centro, de;15º.;30º.;45º.;60º.;75º.;0
2011;152;MT;75890;E;18;0;;2.1861;0.61239;0.13381;Cinza;130;;;;REGULAR;ENEM_2011_P1_CAD_06_DIA_2_CINZA_LEDOR.pdf;Observe as dicas para calcular a quantidade certa de alimentos e bebidas para as festas de fim de ano: \bullet Para o prato principal, estime 250 gramas de carne para cada pessoa. \bullet Um copo americano cheio de arroz rende o suficiente para quatro pessoas. \bullet Para a farofa, calcule quatro colheres de sopa por convidado. \bullet Uma garrafa de vinho serve seis pessoas. \bullet Uma garrafa de cerveja serve duas. \bullet Uma garrafa de espumante serve três convidados. Quem organiza festas faz esses cálculos em cima do total de convidados, independente do gosto de cada um. Um anfitrião decidiu seguir essas dicas ao se preparar para receber 30 convidados para a ceia de Natal. Para seguir essas orientações à risca, o anfitrião deverá dispor de;120 kg de carne, 7 copos americanos e meio de arroz, 120 colheres de sopa de farofa, 5 garrafas de vinho, 15 de cerveja e 10 de espumante.;120 kg de carne, 7 copos americanos e meio de arroz, 120 colheres de sopa de farofa, 5 garrafas de vinho, 30 de cerveja e 10 de espumante.;75 kg de carne, 7 copos americanos e meio de arroz, 120 colheres de sopa de farofa, 5 garrafas de vinho, 15 de cerveja e 10 de espumante.;7,5 kg de carne, 7 copos americanos, 120 colheres de sopa de farofa, 5 garrafas de vinho, 30 de cerveja e 10 de espumante.;7,5 kg de carne, 7 copos americanos e meio de arroz, 120 colheres de sopa de farofa, 5 garrafas de vinho, 15 de cerveja e 10 de espumante.;0
2011;153;MT;72056;C;27;0;;2.29585;0.9001;0.15579;Cinza;130;;;;REGULAR;ENEM_2011_P1_CAD_06_DIA_2_CINZA_LEDOR.pdf;"A participação dos estudantes na Olimpíada Brasileira de Matemática das Escolas Públicas (OBMEP) aumenta a cada ano. O percentual de medalhistas de ouro, por região, nas edições da OBMEP de 2005 a 2009 foi o seguinte: \bullet Região Norte: em 2005, 2%; em 2006, 2%; em 2007, 1%; em 2008, 2%; em 2009, 1%; \bullet Região Nordeste: em 2005, 18%; em 2006, 19%; em 2007, 21%; em 2008, 15%; em 2009, 19%; \bullet Região Centro-Oeste: em 2005, 5%; em 2006, 6%; em 2007, 7%; em 2008, 8%; em 2009, 9%; \bullet Região Sudeste: em 2005, 55%; em 2006, 61%; em 2007, 58%; em 2008, 66%; em 2009, 60%; \bullet Região Sul: em 2005, 21%; em 2006, 12%; em 2007, 13%; em 2008, 9%; em 2009, 11%. Em relação às edições de 2005 a 2009 da OBMEP, qual o percentual médio de medalhistas de ouro da região Nordeste?";14,6%;18,2%;18,4%;19,0%;21,0%;0
2011;154;MT;70423;E;15;0;;1.42032;0.78256;0.16611;Cinza;130;;;;REGULAR;ENEM_2011_P1_CAD_06_DIA_2_CINZA_LEDOR.pdf;As frutas que antes se compravam por dúzias, hoje em dia, podem ser compradas por quilogramas, existindo também a variação dos preços de acordo com a época de produção. Considere que, independente da época ou variação de preço, certa fruta custa R$ 1,75 o quilograma. Entre as equações a seguir, a que representa o preço m pago em reais pela compra de n quilogramas desse produto é;m = 1,75 n .;m = 1,75 (n + 1).;$m = 1,75 n^{2}$;m = 1,75 (n – 1).;m = 1,75 n.;0
